Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
01 - Albany,01 - Albany,ALBANY,WATERVLIET-CITY,264 L1S,NY 002,NY 007,"Rte 2 & Rte 7 @ Rte I87 EXIT 6, BRIDGE LIGHTING L1 S side",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4734257.778,600521.1298
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,217,NY 155,Wormer Rd,Rte 155 @ WORMER RD.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724783.008,589060.3698
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,89155,NY 910F,NY 020,Rte 910F @ Rte 20 ITS CAMERA,ITS LOCATIONS,ITS CAMERA LOCATION,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4735219.194,601813.758
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,210,US 009,Orange St,US Rte 9 (Broadway) @ ORANGE ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723040.026,602528.9021
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,1N,US 009,Dunn Br Nav Lights,Rte 9&20 @ DUNN BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721941.769,602660.5363
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,197,NY 007,CHP,Rte 7 @ CHP,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4736113.859,596328.2993
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,230,Forts Ferry Rd,Wade Rd Ext.,FORTS FERRY RD @ WADE ROAD EXT.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4734603.119,600237.6382
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,101 L2,NY 085,NY 140,Rte 85 @ Rte 140 ROUND ABOUT LIGHTING L2 (SE) 400W (also L4),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721124.604,593802.919
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,116,US 009W,McCarty Ave,US Rte 9W (Southern Blvd) @ MCCARTY AVE & PARKING LOT,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721046.631,600367.7828
01 - Albany,01 - Albany,ALBANY,TROY-CITY,5N,NY 007,Hoosick St Nav Lights,Rte 7 @ HOOSICK STREET BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4732793.203,607339.8356
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L14,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L14 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L82,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L82 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,43,US 009,Crumite Rd,US Rte 9 @ CRUMITE RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727904.08,602049.2301
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,117 L18,NY 085,Blessing Rd,Rte 85 @ BLESSING RD roundabout lighting L18 (NW) 250W (also L19),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722485.87,594399.9047
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,237 L14,NY 085,Vista,Rte 85 @ MAHAR ROUND ABOUT LIGHTING L14 (SE) 400W (also L16),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721641.698,593752.2387
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,240 L1,NY 155,Old Wolf Rd,Route 155 @ Old Wolf Road roundabout lighting L1 (SW) 250W (also L3),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4732517.981,598975.7039
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,254 L26,NY 085,Blessing Rd,Rte 85 @ VISTA BLVD ROUNDABOUT LIGHTING L26 (NE) 400W (also L30),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722458.158,594469.8801
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,255,NY 378,Menands Bridge,Rte 378 @ Menands Bridge lighting Albany feed (14) 150 WATT fixtures,STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728590.449,606735.6995
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,258 L11,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L11 (NW) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727643.068,595869.5627
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,258 L20,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L20 (SEEEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727562.941,595947.7243
01 - Albany,01 - Albany,ALBANY,WATERVLIET-CITY,259 L6,NY 002,NY 002,"Rte 2, Congress St Bridge, BRIDGE LIGHTING L6 (S side) 250W (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4731607.913,606401.3256
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L18,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L18 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L28,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L28 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L39,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L39 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L49,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L49 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L63,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L63 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L74,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L74 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L8,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L8 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L85,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L85 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,262 LU4,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU4 (CENTER W) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.83,595812.228
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L4,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L4  ESE 250W (also L5),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733552.631,601419.0551
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,33B,I 087 SB,I 087 SB Rollover Sign,I-Rte 87 SB truck reduce speed sign (2nd one heading SB),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728268.61,595405.7285
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,35B,I 087 SB,I 087 SB Rollover Sign,I-Rte 87 SB rollover sign (3rd one heading SB),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728268.514,595405.7182
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,40B,NY 146,Altamont FH,Rte 146 @ ALTAMONT FH,BEACON,STANDARD,SELECTIVE RESPONSE 3,LOCAL PUBLIC BODY ( PERMIT ),4728325.16,579912.8753
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,68FS,US 020,Ardsley Rd,US Rte 20 (Western Ave) @ ARDSLEY RD &  WESTMERE FH,3-COLOR SIGNAL,EMERGENCY,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4726884.811,593248.4166
01 - Albany,01 - Albany,ALBANY,VOORHEESVILLE-VILLAGE,209 L4,NY 085A,NY 155,Rte 85A @ RTE 155 ROUND ABOUT LIGHTING L4 (E) 100W (also L8),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722417.699,588461.8817
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,237 L10,NY 085,Vista,Rte 85 @ MAHAR ROUND ABOUT LIGHTING L10 (NW) 400W (also L16),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721659.706,593702.8446
01 - Albany,01 - Albany,ALBANY,VOORHEESVILLE-VILLAGE,23B,NY 085A,RR-Overpass,Rte 85A WB @ RR OVERPASS,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722453.145,588255.0669
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,258 L22,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L22 (NNE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727632.814,595909.6783
01 - Albany,01 - Albany,ALBANY,WATERVLIET-CITY,259 L1,NY 002,NY 002,"Rte 2, Congress St Bridge, BRIDGE LIGHTING L1 S side",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4731638.543,606321.5018
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L19,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L19 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L24,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L24 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L1,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L1 WSW 250W (also L8),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733581.592,601365.0534
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L2,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L2 SSW 250W (also L8),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733569.704,601370.7444
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L3,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L3 SSE 250W (also L5),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733550.481,601411.5935
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L6,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L6 NNE 250W (also L5),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733609.035,601436.0017
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L7,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L7 NNW 250W (also L8),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733626.488,601395.4056
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L8,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L8 WNW 250W,STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733623.452,601383.5177
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,61,NY 007,I 087 NB,Rte 7 @ I-Rte 87 Exit 6 SPUI,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4734131.43,600742.97
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,104,I 087,Albany Shaker Rd,I-Rte 87 EXIT 4 SB ON Ramp @ Albany Shaker,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4731387.97,598519.77
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,117 L19,NY 085,Blessing Rd,Rte 85 @ BLESSING RD roundabout lighting L19 (N) 250W,STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722515.87,594418.801
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,184,NY 005,Red Fox,Rte 5 (Central Ave) @ RED FOX DR & LANCI LN,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4730848.85,594932.0102
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,194,NY 443,Van Dyke Rd,Rte 443 (Delaware Ave) @ VAN DYKE RD  & LONG MEADOW DR.,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4718451.31,593593.86
01 - Albany,01 - Albany,ALBANY,RAVENA-VILLAGE,22,US 009W,NY 143,US Rte 9W @ RTE 143 & WENDEL ST & RITE AID,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4702458.53,597323.4299
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,235,NY 155,Doc Shaw Rd,Rte 155 @ DOC SHAW RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4726157.148,589874.8089
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,254 L31,NY 085,Blessing Rd,Rte 85 @ VISTA BLVD ROUNDABOUT LIGHTING L31 (S) 250W (also L30),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722768.158,594859.8801
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,26,NY 146,CR 202,Rte 146 @ CR 202 (Meadowdale Rd) & SCHOOL RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728335.78,584700.41
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,17BS,US 009W,Glenmont Elem,US Rte 9W @ GLENMONT ELEMENTARY SCHOOL,BEACON,STANDARD,FULL RESPONSE 1,PRIVATE ( PERMIT ),4717980.41,599260.6496
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,89,I 087,Albany Shaker Rd,I-Rte 87 EXIT 4 NB ON Ramp @ ALBANY SHAKER RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4731253.64,598664.3302
01 - Albany,01 - Albany,ALBANY,WATERVLIET-CITY,4N.1,NY 002,Congress St Br Nav Lights,Rte 2 @ CONGRESS STREET BR. NAVIGATION LIGHT SOUTH SIDE,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4731518.292,606655.9386
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,106,NY 009R,Old Loudon Rd,Rte 9R @ OLD LOUDON RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4735189.82,601961.85
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,114,NY 009R,NY 470,Rte 9R (Columbia St Ext) @ RTE 470,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4736253.422,603992.3461
01 - Albany,01 - Albany,ALBANY,MENANDS-VILLAGE,12,NY 032,Menands Rd,Rte 32 (Broadway) @ MENANDS RD & FRONTAGE RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727706.72,604660.3983
01 - Albany,01 - Albany,ALBANY,GUILDERLAND-TOWN,124,NY 146,Lydius St,Rte 146 (Carmen Rd) @ LYDIUS,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4734113.778,586443.16
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,141,NY 009R,Johnson Rd,Rte 9R @ JOHNSON RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4735231.25,602284.6702
01 - Albany,01 - Albany,ALBANY,BETHLEHEM-TOWN,199,NY 910A,Murray Dr,FEURA BUSH RD (910A) @ MURRAY DR,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4717294.249,598834.961
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,223P,Albany Shaker Rd,Watervliet Ave,ALBANY SHAKER  RD @ WATERVLIET AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4733270.554,596885.0868
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,224P,Albany Shaker Rd,Airport Blvd,ALBANY SHAKER RD @ AIRPORT BLVD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4734193.988,596664.8878
