Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
03 - Syracuse,03 - Syracuse,ONONDAGA,CICERO-TOWN,199,NY 298,Taft Rd,NY 298 @ TAFT RD,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4775020.87,418849.3302
03 - Syracuse,03 - Syracuse,ONONDAGA,SALINA-TOWN,026SB,NY 370,RR / Overpass N/B,NY 370 (ONON PKWY) NB @ RR BRIDGE,BEACON,SIGN,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4771281.891,402998.0484
03 - Syracuse,03 - Syracuse,ONONDAGA,LIVERPOOL-VILLAGE,13,NY 370,Tulip St,NY 370 @ TULIP ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4772990.294,401689.9787
03 - Syracuse,03 - Syracuse,ONONDAGA,SALINA-TOWN,99,NY 370,Longbranch Rd,NY 370 @ LONGBRANCH RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4775169.625,399412.2721
03 - Syracuse,03 - Syracuse,ONONDAGA,CLAY-TOWN,069AENB,NY 481,Erie Canal,NY 481 NB OVER ERIE CANAL BIN 4051011,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4785047.2,397123.41
03 - Syracuse,03 - Syracuse,ONONDAGA,CLAY-TOWN,069AESB,NY 481,Erie Canal,NY 481 SB OVER ERIE CANAL BIN 4051012,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4785041.041,397118.3629
03 - Syracuse,03 - Syracuse,OSWEGO,OSWEGO-CITY,005A,NY 104,W 2nd St,NY 104 (W BRIDGE ST) @ WEST 2ND ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4812567.585,377640.1807
03 - Syracuse,03 - Syracuse,OSWEGO,OSWEGO-CITY,034A,NY 104,E 9th St,NY 104 (E BRIDGE ST) @ EAST 9TH ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4812979.969,378692.963
03 - Syracuse,03 - Syracuse,OSWEGO,SCRIBA-TOWN,017SB,NY 104,CR 053,NY 104 W OF CR 53,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4813376.25,382875.5411
03 - Syracuse,03 - Syracuse,OSWEGO,PHOENIX-VILLAGE,27,NY 264,Old RT 57,NY 264 @ OLD ROUTE 57 & BRIDGE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4787294.718,394349.8448
03 - Syracuse,03 - Syracuse,OSWEGO,FULTON-CITY,025A,NY 481,Rochester St,NY 481 (S SECOND ST) @ ROCHESTER ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4797637.334,385201.6866
03 - Syracuse,03 - Syracuse,OSWEGO,FULTON-CITY,022A,NY 481,Oneida St,NY 481 (S SECOND ST) @ ONEIDA ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4797891.487,385172.2041
03 - Syracuse,03 - Syracuse,OSWEGO,SCHROEPPEL-TOWN,013SB,CR 046,Hinmansville Bridge,CR 46 E OF HINMANSVILLE BRIDGE,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4789490.796,390472.9696
03 - Syracuse,03 - Syracuse,SENECA,WATERLOO-TOWN,20,US 020,Seneca Blvd,NY 5 & US 20 @ SENECA BLVD & NORTH ST BORDER CITY,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4749463.862,341519.9082
03 - Syracuse,03 - Syracuse,SENECA,SENECA FALLS-TOWN,004PA,NY 005,Gould Pump,NY 5 & US 20 & NY 414 @ GOULD PUMP,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4752461.406,352259.4642
03 - Syracuse,03 - Syracuse,SENECA,SENECA FALLS-TOWN,6,NY 005,Cayuga St,NY 5 & US 20 & NY 414 @ CAYUGA ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4752411.756,353418.2185
03 - Syracuse,03 - Syracuse,SENECA,SENECA FALLS-TOWN,23,NY 089,Bayard St Ext,NY 89 @ BAYARD ST EXT,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4752987.81,356956.6724
03 - Syracuse,03 - Syracuse,SENECA,TYRE-TOWN,003S,NY 089,Cayuga-Seneca Canal,NY 89 OVER CAY-SEN CANAL BIN 4034310,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4755562.139,356333.6694
03 - Syracuse,03 - Syracuse,SENECA,TYRE-TOWN,15,NY 318,NY 414,NY 318 @ NY 414 (MAGEE),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4758104.215,349421.512
03 - Syracuse,03 - Syracuse,SENECA,SENECA FALLS-TOWN,13,NY 414,W Bayard St,NY 414 (OVID ST) @ W BAYARD ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4752198.446,353383.5763
03 - Syracuse,03 - Syracuse,SENECA,SENECA FALLS-TOWN,004SB,NY 414,Balsey Rd,NY 414 N OF BALSEY & NORTH RD,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4752472.786,350026.0839
03 - Syracuse,03 - Syracuse,TOMPKINS,NEWFIELD-TOWN,003SB,NY 013,Leslo Ln,NY 13 S OF LESLO LN,BEACON,SIGN,SELECTIVE RESPONSE 2 MAN REQUIRED LOCATION,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4692735.82,370390.63
03 - Syracuse,03 - Syracuse,TOMPKINS,ITHACA-CITY,25,NY 013,NY 013A,NY 13 @ NY 13A,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 2 MAN REQUIRED LOCATION,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4696945.13,373964
03 - Syracuse,03 - Syracuse,TOMPKINS,ITHACA-CITY,011A,NY 013,NY 096B,"NY 13,34,96 (MEADOW ST) @ NY 96B (FULTON ST)",3-COLOR SIGNAL,STANDARD,FULL RESPONSE 2 MAN REQUIRED LOCATION,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4699363.946,375949.6962
03 - Syracuse,03 - Syracuse,TOMPKINS,ITHACA-CITY,027A,NY 013,W Seneca St,"NY 13,34,96 (MEADOW ST) @ NY 79 (W SENECA ST)",3-COLOR SIGNAL,STANDARD,FULL RESPONSE 2 MAN REQUIRED LOCATION,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4699548.06,375946.34
03 - Syracuse,03 - Syracuse,TOMPKINS,ITHACA-CITY,005A,NY 013,NY 079,"NY 13,34 (MEADOW ST) @ NY 79 (SENECA ST)",3-COLOR SIGNAL,STANDARD,FULL RESPONSE 2 MAN REQUIRED LOCATION,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4699745.828,375939.735
03 - Syracuse,03 - Syracuse,CORTLAND,HOMER-TOWN,003SB,NY 041,Creal Rd,NY 41 N OF CREAL RD,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723455.61,401530.02
03 - Syracuse,03 - Syracuse,CORTLAND,CORTLANDVILLE-TOWN,20,NY 215,Starr Rd,NY 215 @ STARR RD,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4715181.961,402533.1174
03 - Syracuse,03 - Syracuse,CORTLAND,CORTLANDVILLE-TOWN,11,NY 281,McLean Rd,NY 281 @ MCLEAN RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4715111.594,400434.5999
03 - Syracuse,03 - Syracuse,CORTLAND,CORTLANDVILLE-TOWN,23,NY 281,Madison St,NY 281 @ MADISON ST & MURRAY CNTR DR,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4717461.302,401482.8064
03 - Syracuse,03 - Syracuse,ONONDAGA,ELBRIDGE-TOWN,64,NY 005,NY 031B,NY 5 @ NY 31B,FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4764565.923,378921.3336
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,194,I 481 SB,Jamesville Rd,I 481 SB @ JAMESVILLE RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4761792.506,410004.5423
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,219,NY 635,Exeter St,NY 635 (THOMPSON RD) @ EXETER ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4769427.32,411324.1946
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,272P,NY 635,NYNEX Driveway,NY 635 (THOMPSON RD) @ NYNEX DRIVEWAY,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (PERMIT FOR FEE - MAINTAINED BY STATE FORCES),4770261.122,411358.8974
03 - Syracuse,03 - Syracuse,ONONDAGA,LYSANDER-TOWN,078ENB,NY 690 EB,Erie Canal,NY 690 NB OVER ERIE CANAL BIN 4053702,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4779682.682,389195.4409
03 - Syracuse,03 - Syracuse,ONONDAGA,GEDDES-TOWN,025SB,I 690 WB,State Fair Pk Lot,I 690 WB TRAFFIC IN ADV OF SG 224 FAIR PARK LOT CROSOVER,BEACON,SPECIAL PURPOSE,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4770455.754,400673.8673
03 - Syracuse,03 - Syracuse,ONONDAGA,SYRACUSE-CITY,198,I 690 EB,Hiawatha Blvd,I 690 EB @ HIAWATHA BLVD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4767903.521,403718.8709
03 - Syracuse,03 - Syracuse,ONONDAGA,SYRACUSE-CITY,147,I 690 WB,N Geddes St,I 690 WB @ N GEDDES ST & MARQUETTE ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4767731.012,404688.5009
03 - Syracuse,03 - Syracuse,ONONDAGA,SYRACUSE-CITY,131,I 690 WB,Teall Ave,I 690 WB @ TEALL AVE (CONTROLS 130),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 2 MAN REQUIRED LOCATION,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4767404.811,408677.8204
03 - Syracuse,03 - Syracuse,ONONDAGA,MANLIUS-TOWN,200,NY 092,Woodchuck Hill Rd,NY 92 @ WOODCHUCK HILL RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4763017.903,417244.4856
03 - Syracuse,03 - Syracuse,ONONDAGA,MANLIUS-TOWN,033SB,NY 173,Watervale Rd,NY 173 E OF WATERVALE RD,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4760623.886,419149.1225
03 - Syracuse,03 - Syracuse,ONONDAGA,MANLIUS-TOWN,013SB,Sweet Rd,NY 173,SWEET RD S OF NY 173,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4760084.672,417002.2583
03 - Syracuse,03 - Syracuse,ONONDAGA,MANLIUS-TOWN,271,NY 173,Sweet Rd,NY 173 @ SWEET RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4760307.097,417003.788
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,225,NY 173,Jamesville Rd,NY 173 @ JAMESVILLE RD (JAMESVILLE),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4760450.666,412718.2655
03 - Syracuse,03 - Syracuse,ONONDAGA,ONONDAGA-TOWN,177,NY 173,Broad Rd,NY 173 @ BROAD RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4762065.83,404631.4485
03 - Syracuse,03 - Syracuse,ONONDAGA,ONONDAGA-TOWN,116,NY 173,NY 175,NY 173 @ NY 175 (ONONDAGA RD)  (CONTROLS 115),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 2 MAN REQUIRED LOCATION,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4762115.479,403927.2203
03 - Syracuse,03 - Syracuse,ONONDAGA,ONONDAGA-TOWN,168,NY 173,Split Rock Rd,NY 173 @ SPLIT ROCK RD & FAY RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4764240.358,400284.571
03 - Syracuse,03 - Syracuse,ONONDAGA,CAMILLUS-TOWN,33,NY 173,Genesee St,NY 173 @ GENESEE ST & CR 63 FAIRMOUNT,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4766808.061,399120.6261
03 - Syracuse,03 - Syracuse,CAYUGA,MONTEZUMA-TOWN,14,NY 005,NY 090,NY 5 & US 20 @ NY 90,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4758161.28,358592.4976
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,005A,NY 005,Washington St,NY 5 & US 20 @ WASHINGTON ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4754378.501,371374.2741
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,008A,NY 005,NY 038,NY 5 & NY 20 WB @ STATE ST & NY 38,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4754647.484,371899.7547
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,021A,NY 005,Seminary Rd,NY 5 & US 20 EB @ SEMINARY AVE  (CONTROLLED BY 20A),3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4754705.366,372424.1004
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,013A,NY 005,John Street,NY 5 & US 20 @ NY 38A (JOHN ST),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4754756.438,372601.1522
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,016A,NY 005,Seymour St,NY 5 (GRANT AVE) @ SEYMOUR & FRANKLIN ST (BJ'S),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4755109.407,373043.7816
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,002A,NY 005,Seward St,NY 5 (GRANT AVE) @ SEWARD ST & STANDART AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4755794.915,373471.6567
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,025A,NY 005,Brookside Dr,NY 5 (GRANT AVE) @ BROOKSIDE DR,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4756756.216,373959.6841
03 - Syracuse,03 - Syracuse,CAYUGA,MONTEZUMA-TOWN,090E,NY 031,Erie Canal,NY 31 OVER ERIE CANAL BIN 4421800,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4764164.31,360536.27
03 - Syracuse,03 - Syracuse,CAYUGA,AUBURN-CITY,001A,NY 034,Seymour St,NY 34 (NORTH ST) @ SEYMOUR ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4755093.501,372180.6321
03 - Syracuse,03 - Syracuse,CAYUGA,CATO-TOWN,4,NY 034,NY 370,NY 34 @ NY 370,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4780672.96,372143.7684
03 - Syracuse,03 - Syracuse,CAYUGA,BRUTUS-TOWN,083E,NY 034,Erie Canal,NY 34 OVER ERIE CANAL BIN 4023370,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4769794.49,373278.7157
03 - Syracuse,03 - Syracuse,CAYUGA,LOCKE-TOWN,005SB,NY 090 WB,NY 038,NY 90 NB 1 1/2 MILES E OF NY 38,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723253.77,386073.04
03 - Syracuse,03 - Syracuse,CAYUGA,GENOA-TOWN,007SB,NY 090,Indian Field Rd,NY 90 W OF INDIAN FIELD RD,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4725042.98,372932.24
03 - Syracuse,03 - Syracuse,CAYUGA,GENOA-TOWN,004SB,NY 090,NY 034B,NY 90 E OF NY 34B,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724928.92,367750.38
03 - Syracuse,03 - Syracuse,CAYUGA,MONTEZUMA-TOWN,16,NY 090,CR 142,NY 90 @ CR 142 (FULLER RD),FLASHER,STANDARD,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4762964.377,361400.3572
03 - Syracuse,03 - Syracuse,CORTLAND,CORTLANDVILLE-TOWN,21,US 011,NY 041,NY 11 @ NY 41,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4716055.87,406920.8237
03 - Syracuse,03 - Syracuse,CORTLAND,CORTLAND-CITY,011A,US 011,Franklin St,"NY 11, 41 (PORT WATSON ST) @ FRANKLIN ST",3-COLOR SIGNAL,EMERGENCY,FULL RESPONSE,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4716867.358,404457.9881
03 - Syracuse,03 - Syracuse,CORTLAND,CORTLANDVILLE-TOWN,5,NY 013,NY 281 & Lamont Cir,NY 13 @ NY 281 & LAMONT CIRCLE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4714467.081,400177.4841
03 - Syracuse,03 - Syracuse,CORTLAND,CORTLANDVILLE-TOWN,14,NY 013,Starr Rd,NY 13 @ STARR RD & MCLEAN RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4715136.563,401095.1392
03 - Syracuse,03 - Syracuse,ONONDAGA,CAMILLUS-TOWN,81,NY 005,Bennetts Corners Rd,NY 5 @ BENNETT CORNERS RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4765565.09,388781.585
03 - Syracuse,03 - Syracuse,ONONDAGA,CAMILLUS-TOWN,169,NY 005,Ike Dixon Rd,NY 5 @ IKE DIXON RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4765710.222,391282.0359
03 - Syracuse,03 - Syracuse,ONONDAGA,GEDDES-TOWN,144,NY 005,W Genesee St,NY 5 OFF RAMP @ GENESEE ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4766899.178,400156.5296
03 - Syracuse,03 - Syracuse,ONONDAGA,SOLVAY-VILLAGE,59,NY 005,Montrose Ave,NY 5 (W GENESEE ST) @ MONTROSE & CHARLES AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4766877.604,402514.6139
03 - Syracuse,03 - Syracuse,ONONDAGA,SYRACUSE-CITY,002A,NY 005,S Midler Ave,NY 5 (ERIE BLVD) @ S MIDLER AVE & SEELEY RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 2 MAN REQUIRED LOCATION,STATE RESPONSIBILITY (STATE OWNED SIGNAL - MUNICIPALITY BACK CHARGED - MAINTAINED BY STATE FORCES),4767349.239,410086.0271
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,117,NY 005,Thompson Rd,NY 5 (ERIE BLVD) @ THOMPSON RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4767549.402,411790.0121
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,135P,NY 005,Hechinger Plaza,NY 5 (ERIE BLVD) @ EMPIRE PLAZA,3-COLOR SIGNAL,STANDARD,NO RESPONSE,PRIVATE ( PERMIT ),4767374.325,412403.6531
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,183P,NY 005,Fietta Dr / Hills Plaza,NY 5 (ERIE BLVD) @ MARSHALLS PLAZA (FIETTA DR),3-COLOR SIGNAL,STANDARD,NO RESPONSE,PRIVATE ( PERMIT ),4766618.271,412857.0244
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,67,NY 005,Grenfell / Shoppingtown,NY 5 (ERIE BLVD) @ SHOPPINGTOWN N DR & GRENFELL RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4765638.724,413164.4164
03 - Syracuse,03 - Syracuse,ONONDAGA,DEWITT-TOWN,105,NY 005,Maple Dr,NY 5 & NY 92 (GENESEE ST) @ MAPLE DR,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4764914.543,414078.4032
03 - Syracuse,03 - Syracuse,ONONDAGA,FAYETTEVILLE-VILLAGE,2,NY 005,NY 257,NY 5 (GENESEE ST) & SALT SPRINGS RD @ NY 257,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4764632.162,418162.3908
03 - Syracuse,03 - Syracuse,ONONDAGA,LAFAYETTE-TOWN,10,US 011,NY 020,NY 11 @ NY 20 LAFAYETTE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4749425.387,409739.388
03 - Syracuse,03 - Syracuse,ONONDAGA,ONONDAGA-TOWN,49,US 011,Rockwell Rd,US 11 (SALINA ST) @ ROCKWELL RD & WENDELL RD (NEDROW),3-COLOR SIGNAL,STANDARD,FULL RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4758876.671,406919.1209
03 - Syracuse,03 - Syracuse,ONONDAGA,SALINA-TOWN,014SB,US 011,RR / Overpass N/B,NY 11 (WOLF ST) @ RR OVERPASS NB,BEACON,SIGN,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4771050.945,406242.8548
